Tanggal,curah_hujan
12-05-2012,0.0
13-05-2012,0.0
14-05-2012,0.0
15-05-2012,0.0
16-05-2012,0.0
17-05-2012,0.0
18-05-2012,5.3
19-05-2012,3.5
20-05-2012,0.0
21-05-2012,0.2
22-05-2012,0.5
23-05-2012,0.0
24-05-2012,6.8
25-05-2012,6.8
26-05-2012,0.0
27-05-2012,0.0
28-05-2012,0.1
29-05-2012,33.9
30-05-2012,0.0
31-05-2012,21.7
01-06-2012,0.0
02-06-2012,0.8
03-06-2012,1.7
04-06-2012,0.0
05-06-2012,0.0
06-06-2012,0.0
07-06-2012,0.0
08-06-2012,0.0
09-06-2012,0.0
10-06-2012,14.0
11-06-2012,1.6
12-06-2012,4.8
13-06-2012,0.0
14-06-2012,0.0
15-06-2012,1.4
16-06-2012,0.0
17-06-2012,0.0
18-06-2012,0.0
19-06-2012,1.4
20-06-2012,7.0
21-06-2012,0.0
22-06-2012,0.0
23-06-2012,2.7
24-06-2012,0.4
25-06-2012,11.7
26-06-2012,0.2
27-06-2012,0.0
28-06-2012,1.8
29-06-2012,9.4
30-06-2012,7.0
01-07-2012,24.1
02-07-2012,2.7
03-07-2012,0.0
04-07-2012,2.5
05-07-2012,0.0
06-07-2012,5.9
07-07-2012,26.8
08-07-2012,6.8
09-07-2012,0.0
10-07-2012,45.0
11-07-2012,2.1
12-07-2012,8.4
13-07-2012,4.8
14-07-2012,4.4
15-07-2012,24.5
16-07-2012,0.0
17-07-2012,50.6
18-07-2012,11.3
19-07-2012,25.0
20-07-2012,0.4
21-07-2012,0.0
22-07-2012,0.0
23-07-2012,4.5
24-07-2012,0.0
25-07-2012,6.5
26-07-2012,28.9
27-07-2012,0.0
28-07-2012,0.0
29-07-2012,0.0
30-07-2012,0.0
31-07-2012,0.0
01-08-2012,4.0
02-08-2012,2.6
03-08-2012,0.0
04-08-2012,0.6
05-08-2012,0.0
06-08-2012,0.0
07-08-2012,0.0
08-08-2012,0.0
09-08-2012,0.0
10-08-2012,0.0
11-08-2012,7.0
12-08-2012,0.0
13-08-2012,0.0
14-08-2012,0.0
15-08-2012,0.0
16-08-2012,0.0
17-08-2012,0.0
18-08-2012,6.0
19-08-2012,1.1
20-08-2012,6.7
21-08-2012,0.0
22-08-2012,0.5
23-08-2012,8.0
24-08-2012,15.0
25-08-2012,2.1
26-08-2012,3.6
27-08-2012,12.6
28-08-2012,13.0
29-08-2012,0.0
30-08-2012,0.8
31-08-2012,20.6
01-09-2012,0.0
02-09-2012,0.0
03-09-2012,0.0
04-09-2012,0.0
05-09-2012,0.0
06-09-2012,0.0
07-09-2012,0.0
08-09-2012,0.0
09-09-2012,0.0
10-09-2012,0.0
11-09-2012,0.0
12-09-2012,0.0
13-09-2012,0.0
14-09-2012,0.0
15-09-2012,0.0
16-09-2012,0.0
17-09-2012,0.0
18-09-2012,0.0
19-09-2012,0.0
20-09-2012,0.0
21-09-2012,0.0
22-09-2012,0.0
23-09-2012,0.0
24-09-2012,0.0
25-09-2012,0.0
26-09-2012,0.0
27-09-2012,0.0
28-09-2012,0.0
29-09-2012,0.0
30-09-2012,0.0
01-10-2012,0.0
02-10-2012,0.0
03-10-2012,0.0
04-10-2012,0.0
05-10-2012,0.0
06-10-2012,0.0
07-10-2012,0.0
08-10-2012,0.8
09-10-2012,0.1
10-10-2012,0.0
11-10-2012,0.0
12-10-2012,0.0
13-10-2012,0.0
14-10-2012,0.1
15-10-2012,0.0
16-10-2012,7.4
17-10-2012,0.0
18-10-2012,0.5
19-10-2012,0.0
20-10-2012,10.8
21-10-2012,1.6
22-10-2012,0.5
23-10-2012,0.3
24-10-2012,1.0
25-10-2012,2.4
26-10-2012,0.0
27-10-2012,0.0
28-10-2012,0.9
29-10-2012,1.7
30-10-2012,2.8
31-10-2012,3.0
01-11-2012,16.3
02-11-2012,5.1
03-11-2012,11.3
04-11-2012,4.0
05-11-2012,0.0
06-11-2012,10.8
07-11-2012,0.0
08-11-2012,0.0
09-11-2012,0.0
10-11-2012,2.5
11-11-2012,5.0
12-11-2012,0.0
13-11-2012,0.0
14-11-2012,0.0
15-11-2012,1.0
16-11-2012,5.5
17-11-2012,0.5
18-11-2012,0.0
19-11-2012,3.4
20-11-2012,0.6
21-11-2012,0.0
22-11-2012,0.0
23-11-2012,0.0
24-11-2012,11.6
25-11-2012,0.5
26-11-2012,0.0
27-11-2012,0.0
28-11-2012,0.0
29-11-2012,8.6
30-11-2012,0.0
01-12-2012,0.0
02-12-2012,0.0
03-12-2012,1.1
04-12-2012,0.4
05-12-2012,0.0
06-12-2012,1.5
07-12-2012,0.5
08-12-2012,0.7
09-12-2012,4.1
10-12-2012,0.9
11-12-2012,0.9
12-12-2012,0.0
13-12-2012,0.0
14-12-2012,6.4
15-12-2012,13.5
16-12-2012,0.0
17-12-2012,0.0
18-12-2012,0.0
19-12-2012,0.0
20-12-2012,6.0
21-12-2012,2.4
22-12-2012,0.0
23-12-2012,1.5
24-12-2012,0.3
25-12-2012,0.0
26-12-2012,0.0
27-12-2012,3.2
28-12-2012,0.0
29-12-2012,0.2
30-12-2012,4.3
31-12-2012,3.3
01-01-2013,0.0
